country,city,latitude,longitude
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Changshou District,29.95723,107.1356
China,Kaizhou District,31.27337,108.3787
China,Kaizhou District,31.27337,108.3787
China,Wushan County,31.11774,109.8962
China,Jiulongpo District,29.431890000000003,106.3625
China,Zhongxian County,30.338520000000003,107.9107
China,Zhongxian County,30.338520000000003,107.9107
China,Zhongxian County,30.338520000000003,107.9107
China,Zhongxian County,30.338520000000003,107.9107
China,Liangjiang New District,29.6426,106.56700000000001
China,Liangjiang New District,29.6426,106.56700000000001
China,Shizhu County,30.094279999999998,108.2932
China,Shizhu County,30.094279999999998,108.2932
China,Shizhu County,30.094279999999998,108.2932
China,Dianjiang County,30.259759999999996,107.4326
China,Dadukou District,29.41508,106.4452
China,Dadukou District,29.41508,106.4452
China,Dadukou District,29.41508,106.4452
China,Yubei District,29.81392,106.7437
China,Yubei District,29.81392,106.7437
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Huaihua City,27.55503,110.0777
China,Huaihua City,27.55503,110.0777
China,Huaihua City,27.55503,110.0777
China,Huaihua City,27.55503,110.0777
China,Huaihua City,27.55503,110.0777
China,Yueyang City,29.0682,113.25399999999999
China,Yueyang City,29.0682,113.25399999999999
China,Yueyang City,29.0682,113.25399999999999
China,Loudi City,27.73964,111.6133
China,"Feidong County, Hefei City",32.00123,117.5681
China,"Feidong County, Hefei City",32.00123,117.5681
China,"Lujiang County, Hefei City",31.269679999999997,117.32
China,"Yaohai District, Hefei City",31.89544,117.3384
China,Hefei City,31.79444,117.3428
China,Hefei City,31.79444,117.3428
China,"Lujiang County, Hefei City",31.269679999999997,117.32
China,Fuyang City,32.9188,115.7036
